n_batteries,rho_agents,run,feeder_limit_kw,sync_metric,violation_fraction,peak_charge_kw,peak_charge_ratio,peak_discharge_kw,peak_discharge_ratio,mean_abs_aggregate_power_kw,mean_abs_aggregate_power_ratio,fraction_charging_mean,fraction_charging_peak,fraction_discharging_mean,fraction_discharging_peak,max_feeder_loading_ratio,mean_feeder_loading_ratio,mean_headroom_before_battery_kw,min_headroom_before_battery_kw,mean_headroom_after_battery_kw,min_headroom_after_battery_kw,mean_initial_soc,low_soc_fraction,high_soc_fraction
10,0.10526315789473684,13,60.0,1.4032373148004307,0.041666666666666664,34.74867045477214,0.5791445075795356,36.08749553402011,0.6014582589003351,13.69742733881923,0.22829045564698716,0.2583333333333333,0.9,0.1708333333333333,0.9,1.0347591540341072,0.5305942094152208,29.825920929499702,20.771752143640633,28.16434743508675,-2.08554924204644,0.5041418411509311,0.2,0.2
10,0.10526315789473684,14,60.0,1.5386453938415539,0.041666666666666664,32.67512895051764,0.5445854825086273,45.85013796553325,0.7641689660922208,17.899591856375583,0.29832653093959305,0.29583333333333334,1.0,0.25,1.0,1.0923575291522878,0.5174947018000248,29.543049674654714,24.481528116313378,28.95031789199852,-5.541451749137266,0.5417475224939133,0.0,0.3
10,0.10526315789473684,15,60.0,1.667430333794231,0.041666666666666664,29.675835924218823,0.49459726540364707,30.22094405948092,0.5036824009913486,15.833337826053375,0.2638889637675563,0.24583333333333335,0.8,0.2333333333333333,0.9,1.010805469192706,0.4682780770801945,31.58105364331254,23.418134802353073,31.903315375188328,-0.6483281515623531,0.5947773916731658,0.2,0.4
10,0.10526315789473684,16,60.0,1.8310621895714851,0.0,23.091187322105448,0.3848531220350908,28.934595495457295,0.4822432582576216,13.967020321099504,0.23278367201832506,0.25,0.9,0.18333333333333335,0.8,0.9408257202328891,0.512123794951015,30.416521907350774,23.387907612027753,29.272572302939096,3.5504567860266505,0.5070689268119022,0.2,0.3
10,0.10526315789473684,17,60.0,1.4298623154297496,0.0,30.539228132183037,0.508987135536384,41.018991886755536,0.6836498647792589,12.369320413377372,0.2061553402229562,0.1875,0.8,0.2041666666666667,1.0,0.982025728927232,0.5231539356548204,28.227753182187726,21.771532131945108,28.610763860710772,1.078456264366082,0.484418535690936,0.3,0.1
10,0.10526315789473684,18,60.0,1.564601473677409,0.041666666666666664,35.04414021815861,0.5840690036359768,43.04312553055142,0.7173854255091904,13.476305986571845,0.22460509977619741,0.2833333333333334,1.0,0.15,0.9,1.1084822939006933,0.5397794311473006,29.045322972155137,22.237115832204253,27.61323413116196,-6.508937634041601,0.5702698660904434,0.1,0.2
10,0.10526315789473684,19,60.0,1.8256795090359244,0.041666666666666664,32.678548002103526,0.5446424667017254,33.38818630140335,0.5564697716900558,15.027685205940358,0.25046142009900596,0.25,0.9,0.20833333333333334,0.7,1.0409098810378312,0.4932220668613618,29.684422085385062,23.719431868375203,30.406675988318295,-2.4545928622698767,0.5519944232201901,0.1,0.3
10,0.15789473684210525,0,60.0,1.2893409392396082,0.0,30.48963468955835,0.5081605781593058,43.45509926997778,0.7242516544996297,14.346887986325122,0.23911479977208536,0.2416666666666667,0.9,0.19166666666666665,1.0,0.9909008055881529,0.49089195436013044,31.638496973262956,24.446061578614497,30.54648273839217,0.5459516647108273,0.4231159066748044,0.6,0.2
10,0.15789473684210525,1,60.0,1.419345127516645,0.0,27.985830290031583,0.4664305048338597,36.910944321287175,0.6151824053547863,10.843242790242735,0.18072071317071225,0.17500000000000002,0.8,0.1791666666666667,0.8,0.9988208697838242,0.4617298070953704,30.75320809072967,21.752185062842685,32.29621157427778,0.070747812970545,0.520016633124048,0.2,0.3
10,0.15789473684210525,2,60.0,1.2662862474767547,0.0,30.15968093027964,0.5026613488379941,38.31511183253895,0.6385851972089825,11.629515795445899,0.19382526325743166,0.15,0.8,0.17916666666666667,0.9,0.9946773023240121,0.47482301589912107,30.19330955334422,21.48556197242349,31.51061904605274,0.31936186055927607,0.4597969389390217,0.2,0.1
